track_id,track_name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
3NoazwpMAu02KkRwzjM3aS,Artistic Groove,WANT - The 2nd Mini Album,TAEMIN,2019-02-11,217967,38,0.724,0.0277,0.661,0.0,0.225,-6.14,0.0571,100.05,4
7ya8LdOq8FQ9EG0G2unUjz,Love Bubble,Vampire (Special Edition),IZ*ONE,2019-09-25,197786,30,0.641,0.03,0.829,0.0,0.291,-4.979,0.0329,129.971,4
4dgspE323L82XYAjpnlXsv,Bad Liar,Marry My Husband OST Special Track,YUQI,2024-02-27,230617,40,0.708,0.138,0.746,1.49e-06,0.109,-5.437,0.0322,112.975,4
0y0uzuB1HxljAY2j0tLETp,Fancy - Spotify Singles,Fancy - Spotify Singles,STAYC,2024-03-15,193277,61,0.695,0.174,0.787,0.0,0.405,-4.319,0.036,136.019,4
1DsMVek1kGYrVbm3TADG6y,Polaris,Summer Vibes,ASTRO,2016-07-01,201767,0,0.724,0.114,0.899,0.0,0.396,-3.353,0.0898,130.067,4
4xiuarCywWiw9qESd8Y7ng,BONVOYAGE (Farewell Ver.),[BONVOYAGE (Farewell Ver.)],Dreamcatcher,2023-09-14,212333,37,0.43,0.0113,0.865,0.0,0.0792,-3.815,0.0881,158.278,4
2RENeWPEosqVewFaHSNnjT,Obliviate,Modern Times,IU,2013-10-08,190223,48,0.486,0.674,0.631,0.0,0.202,-4.181,0.0322,173.738,4
6EU4Ox9nBAE4BMatsggp8i,under the ground (feat. Dean),"u n u, Pt. 2",nafla,2020-03-24,222133,34,0.656,0.0917,0.913,0.0,0.354,-3.738,0.442,165.995,4
0pAgV6FrL4ulkuVWt7U4Rh,Last Spring Night,Afterimage,GYE0M,2020-08-04,204085,11,0.348,0.943,0.215,0.0018,0.0772,-14.065,0.0403,135.385,3
3DkGByXGf4PqSmbBB3DQVu,ECHO,PYGMALION,ONEUS,2023-05-08,184226,31,0.589,0.302,0.783,0.0,0.125,-4.005,0.1,159.931,4
27SBSNDFapgMmwvJTMZCYD,기괴한 이야기 : Get Out,Bizarre Story,PinkFantasy,2022-10-24,177240,22,0.61,0.254,0.82,2.43e-06,0.314,-2.918,0.0697,165.988,4
1S5cUvGZsueP6xGMeVFHSo,Do or Die (ft. DPR IAN),KINEMA,DPR ARTIC,2024-02-02,214226,57,0.671,0.0223,0.874,0.134,0.158,-3.323,0.0336,124.058,4
10w5yROKTtdjmS00FmaGn4,약속 EXO 2014,LOVE ME RIGHT - The 2nd Album Repackage,EXO,2015-06-03,286671,46,0.56,0.264,0.73,0.0,0.383,-5.122,0.0804,111.014,4
4NNpKLaoOEeYi78vQDb3lB,Run (Ballad Mix),The Most Beautiful Moment in Life: Young Forever,BTS,2016-05-02,257000,48,0.568,0.0311,0.775,0.0,0.379,-3.188,0.0361,128.019,4
4fAvxYyU2u4fAJ0dmUsKfw,DADDY,PSY 7TH ALBUM,PSY,2015-12-01,230635,0,0.762,0.0788,0.87,0.0,0.137,-3.287,0.128,132.049,4
4lOlKcHOovGeQtCGWnEzKy,VROOM VROOM,ColoRise,Weeekly,2023-11-01,196773,39,0.724,0.277,0.902,0.0,0.0734,-1.91,0.068,122.954,4
3NuptDfOx9X6yVy8lg2RtA,I'VE SEEN THIS MOVIE BEFORE,I'VE SEEN THIS MOVIE BEFORE,hyejin,2022-10-21,209500,40,0.488,0.711,0.486,0.0,0.0998,-6.38,0.0372,149.871,3
2OkX9CWlcA9DBazvttZxbz,MISFITS,Belief,Sinae,2021-11-03,184786,8,0.679,0.436,0.512,1.79e-05,0.363,-9.835,0.099,96.9,4
7iRF1psaTyvaVzyTvZhP91,Black Mirror,Rover - The 3rd Mini Album,KAI,2023-03-13,175493,43,0.809,0.172,0.557,6.92e-05,0.116,-4.805,0.0721,140.012,4
1kPJiJ3N8cuw5Kzev8Ilu0,Red,A Talk,HyunA,2014-07-28,199888,49,0.586,0.0027,0.916,0.0,0.402,-1.83,0.0712,163.787,4
4eKIJKxer1JPy3uc9VjNvh,WoW!,Lovelyz 2nd Album 'R U Ready?',Lovelyz,2017-02-26,185606,29,0.766,0.188,0.922,0.0,0.0565,-1.347,0.0635,109.965,4
0Hk3xtVqMJ1TSRqHeTcVye,0g,Midnight Guest,fromis_9,2022-01-17,196266,40,0.443,0.547,0.787,0.0,0.313,-6.247,0.124,199.92,4
6I4IGQX1yNRckxL3mn8RG0,Cha Cha,Rainbow Blaxx Special Album [RB BLAXX],Rainbow Blaxx,2014-01-20,211408,25,0.735,0.166,0.907,0.0,0.306,-2.802,0.0559,125.005,4
3MdJSXjBarAYuuJ7rjJLDk,Ring My Bell,Uncontrollably Fond OST Part.1,Suzy,2016-07-01,205683,48,0.531,0.753,0.478,0.0,0.103,-6.853,0.0528,143.81,4
2pzNbCuGONzhCdfrehTfPY,IMJMWDP (Prod. By GIRIBOY),IMJMWDP,IMJMWDP,2019-02-21,319642,38,0.777,0.246,0.895,0.0,0.0974,-2.501,0.285,146.054,4
1vnxItiNAq3DoHope9ZwXr,MEME,I'M ON IT!,ICHILLIN',2023-07-19,213906,20,0.612,0.247,0.908,1.98e-06,0.113,-1.381,0.0438,156.926,4
5EdwOTiD4Vz7xEoB7jt8En,So 4 more,Dark & Wild,BTS,2014-08-20,235020,53,0.676,0.00405,0.925,6.31e-06,0.279,-2.451,0.111,163.952,4
